               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,            0.033928,             0.06753,            0.018403,             0.51146,             0.41851,             0.42379,             0.23964,            0.032469,            0.097229,            0.024632,            0.006007,            0.006007,            0.006007
                 123,            0.034197,            0.068103,            0.018341,             0.50984,             0.41831,              0.4243,             0.24022,            0.032459,            0.097232,            0.024644,            0.005974,            0.005974,            0.005974
                 124,            0.034106,            0.067074,            0.018252,             0.51486,             0.41851,             0.42494,             0.24084,            0.032456,            0.097246,            0.024657,            0.005941,            0.005941,            0.005941
                 125,            0.033951,            0.066762,            0.018254,             0.51801,             0.41771,             0.42507,             0.24085,            0.032445,            0.097209,            0.024662,            0.005908,            0.005908,            0.005908
                 126,            0.034123,            0.067593,            0.018293,             0.51562,             0.41828,             0.42624,             0.24163,            0.032437,            0.097197,            0.024666,            0.005875,            0.005875,            0.005875
                 127,            0.034097,            0.067548,            0.018238,             0.51645,             0.41842,             0.42639,             0.24169,            0.032426,            0.097202,            0.024655,            0.005842,            0.005842,            0.005842
                 128,            0.033645,            0.065156,            0.017212,             0.51994,             0.41568,              0.4262,             0.24205,            0.032425,            0.097236,            0.024677,            0.005809,            0.005809,            0.005809
                 129,            0.033796,            0.065823,             0.01717,             0.52377,             0.41435,             0.42613,             0.24196,            0.032429,            0.097305,            0.024728,            0.005776,            0.005776,            0.005776
                 130,            0.033769,            0.065841,            0.017204,              0.5175,              0.4161,             0.42596,             0.24176,            0.032433,            0.097395,            0.024751,            0.005743,            0.005743,            0.005743
                 131,            0.034012,            0.067551,            0.018111,             0.51711,              0.4187,             0.42624,             0.24194,            0.032426,            0.097417,            0.024754,             0.00571,             0.00571,             0.00571
                 132,            0.033895,            0.067456,              0.0181,             0.51508,             0.41779,             0.42612,             0.24199,            0.032413,            0.097385,            0.024743,            0.005677,            0.005677,            0.005677
                 133,            0.034023,            0.067525,            0.018073,              0.5171,             0.41829,             0.42671,             0.24255,            0.032403,             0.09737,            0.024717,            0.005644,            0.005644,            0.005644
                 134,            0.034012,             0.06697,            0.017972,             0.51415,             0.41796,             0.42721,             0.24259,            0.032392,            0.097348,            0.024705,            0.005611,            0.005611,            0.005611
                 135,            0.033909,            0.067231,            0.017881,             0.51354,             0.42018,             0.42794,             0.24325,            0.032381,            0.097322,            0.024687,            0.005578,            0.005578,            0.005578
                 136,            0.033999,            0.067396,            0.017902,             0.51433,             0.41854,             0.42731,             0.24317,            0.032369,            0.097292,             0.02468,            0.005545,            0.005545,            0.005545
                 137,            0.033852,            0.066894,            0.017938,             0.51762,              0.4183,             0.42768,             0.24339,            0.032358,            0.097244,            0.024682,            0.005512,            0.005512,            0.005512
                 138,             0.03391,            0.066659,             0.01791,             0.51777,             0.41862,             0.42793,             0.24372,            0.032345,            0.097241,            0.024673,            0.005479,            0.005479,            0.005479
                 139,            0.033843,            0.067266,            0.017734,             0.51911,             0.41963,             0.42885,             0.24391,            0.032335,            0.097221,            0.024654,            0.005446,            0.005446,            0.005446
                 140,            0.033868,            0.067342,            0.017578,             0.52053,             0.41823,             0.42864,             0.24417,            0.032327,            0.097212,             0.02465,            0.005413,            0.005413,            0.005413
                 141,            0.033797,            0.066224,            0.017734,             0.51926,             0.42043,             0.42815,             0.24395,            0.032322,            0.097195,            0.024646,             0.00538,             0.00538,             0.00538
                 142,            0.033711,            0.067217,             0.01768,             0.51942,             0.41971,             0.42839,             0.24435,            0.032314,             0.09719,            0.024642,            0.005347,            0.005347,            0.005347
                 143,            0.033931,            0.066793,             0.01772,             0.51837,             0.42129,             0.42875,             0.24415,            0.032309,            0.097173,             0.02464,            0.005314,            0.005314,            0.005314
                 144,            0.033888,            0.067347,            0.017564,             0.52377,             0.41985,             0.42904,             0.24444,            0.032306,            0.097168,            0.024629,            0.005281,            0.005281,            0.005281
